agv_id,strategy,scenario,scenario_value,completed_tasks,min_soc,idle_ratio,charge_h,stops,traction_energy,aux_energy,delivered_kwh,detour_m,replication
1,C3,base,base,360,54.525900420863024,0.3746125253658915,2.7188237572977902,0,4.5379999999999745,0.7651388888888879,6.9677567034651275,1090.0,1008
2,C3,base,base,360,74.34874465408559,0.3751258488688635,2.264684528599707,0,4.5199999999999765,0.7638888888888878,5.951646100629107,1000.0,1008
3,C3,base,base,360,56.26589987522331,0.37542246886829783,2.7370570815588895,0,4.541999999999974,0.7654166666666656,6.939017422845359,1110.0,1008
4,C3,base,base,360,79.27267227136868,0.37557320250166065,2.1704874933122853,0,4.523999999999973,0.764166666666666,5.733553471570062,1020.0,1008
5,C3,base,base,359,79.45287044651845,0.3745673721718841,2.233515498441876,0,4.499999999999974,0.7612499999999992,5.678057876653862,960.0,1008
1,C4,base,base,360,54.525900420863024,0.37422224763402495,2.8546843562403215,0,4.849999999999943,0.7868055555555569,7.371843098640386,2650.0,1008
2,C4,base,base,360,74.34874465408559,0.37479375154637534,2.4476119876974476,0,4.841999999999945,0.7862500000000012,6.394590545073583,2610.0,1008
3,C4,base,base,360,56.26589987522331,0.3750691020196459,2.8182119869407947,0,4.845999999999942,0.7865277777777792,7.292295200623174,2630.0,1008
4,C4,base,base,360,79.27267227136868,0.37497709603888946,2.3239291747764,0,4.831999999999944,0.7855555555555569,6.127818040399016,2560.0,1008
5,C4,base,base,359,79.45287044651845,0.37429848058107257,2.3702029560766342,0,4.823999999999943,0.7837500000000014,6.11888425545194,2580.0,1008
1,C1,base,base,362,19.82390275049186,0.31201295555436453,1.4647956896466159,0,4.345999999999991,0.7543055555555536,3.508804862475407,10.0,1009
2,C1,base,base,359,19.768023185741136,0.3152919620911718,1.300592163227016,0,4.3099999999999925,0.7480555555555536,3.5115988407129435,10.0,1009
3,C1,base,base,362,19.822222222221708,0.3119961519707115,2.7628659635205213,0,4.347999999999991,0.7544444444444425,7.013583918001348,20.0,1009
4,C1,base,base,359,19.8086814416784,0.3158749408730288,1.2998392325615111,0,4.3099999999999925,0.7480555555555536,3.50956592791608,10.0,1009
5,C1,base,base,365,19.8075983965444,0.3076562189224502,1.465136012752641,0,4.381999999999989,0.7605555555555535,3.509620080172779,10.0,1009
1,C2,base,base,362,51.6522360838254,0.37211395766750294,3.0316792529556356,0,4.87999999999994,0.7913888888888904,7.558471529142159,2680.0,1009
2,C2,base,base,362,59.76468985240807,0.37272485402400535,2.8006214253587456,0,4.8879999999999395,0.791944444444446,7.1592655073797,2720.0,1009
3,C2,base,base,361,51.231760680961514,0.37259381593996305,2.9829319553977847,0,4.867999999999942,0.789305555555557,7.568445029112522,2680.0,1009
4,C2,base,base,361,58.39701477501199,0.37316254877189026,2.912609917325279,0,4.881999999999939,0.7902777777777795,7.222121483471717,2750.0,1009
5,C2,base,base,361,74.73259839654479,0.3734217481581663,2.5018918342108902,0,4.86799999999994,0.7893055555555573,6.390370080172852,2680.0,1009
1,C3,base,base,362,51.6522360838254,0.37251722108612384,2.8665506780911363,0,4.583999999999971,0.7708333333333323,7.180026600899859,1200.0,1009
2,C3,base,base,362,59.76468985240807,0.372968351901837,2.6623833734256985,0,4.593999999999971,0.7715277777777769,6.827540503343924,1250.0,1009
3,C3,base,base,361,51.231760680961514,0.37298424099142896,2.7969878226149163,0,4.559999999999974,0.7679166666666656,7.168639473556926,1140.0,1009
4,C3,base,base,361,58.39701477501199,0.37362273318956013,2.75733418169367,0,4.58399999999997,0.7695833333333325,6.903427039027238,1260.0,1009
5,C3,base,base,361,74.73259839654479,0.3737165299695768,2.2789756656212603,0,4.553999999999973,0.7674999999999992,5.971773310521126,1110.0,1009
1,C4,base,base,362,51.6522360838254,0.37211395766750294,2.960175079552693,0,4.857999999999943,0.7898611111111125,7.534943751364378,2570.0,1009
2,C4,base,base,362,59.76468985240807,0.37272485402400535,2.7331930474834634,0,4.871999999999941,0.7908333333333348,7.1421543962685865,2640.0,1009
3,C4,base,base,361,51.231760680961514,0.37274171971059317,2.9173542022808494,0,4.841999999999944,0.7875000000000013,7.540639473556963,2550.0,1009
4,C4,base,base,361,58.39701477501199,0.37316254877189026,2.787294482437859,0,4.859999999999942,0.7887500000000015,7.198593705693939,2640.0,1009
5,C4,base,base,361,74.73259839654479,0.3734217481581663,2.409508444012013,0,4.839999999999944,0.7873611111111125,6.360425635728402,2540.0,1009
1,C1,base,base,367,19.822222222221708,0.2774142646775391,2.867125013098185,0,4.407999999999989,0.7648611111111091,7.016289353335456,20.0,1010
2,C1,base,base,379,19.838060825993875,0.2880918531552024,1.2992951698890023,0,4.549999999999984,0.7897222222222201,3.5080969587003064,10.0,1010
3,C1,base,base,371,19.745857548958966,0.28880021785522836,1.6382389123316539,0,4.453999999999986,0.7730555555555535,3.512707122552052,10.0,1010
4,C1,base,base,365,19.687864355552552,0.29206624411029347,1.3020765860082857,0,4.381999999999989,0.7605555555555535,3.5156067822223718,10.0,1010
5,C1,base,base,381,19.93347506325933,0.28576698259236416,1.2818181126261299,0,4.573999999999982,0.7938888888888868,3.5033262468370334,10.0,1010
1,C2,base,base,373,52.80699071106939,0.3524454709834518,2.9539198066921517,0,5.023999999999935,0.8151388888888902,7.682567131113297,2740.0,1010
2,C2,base,base,373,66.03139415932753,0.3521344335714931,2.722109898326035,0,5.033999999999934,0.8158333333333349,7.017958069811487,2790.0,1010
3,C2,base,base,373,77.48752421562605,0.3528795023102618,2.5840770882495008,0,5.031999999999934,0.8156944444444459,6.457096011441001,2780.0,1010
4,C2,base,base,372,79.40119768888631,0.3527580538806587,2.5359355093360767,0,5.017999999999934,0.8134722222222238,6.345190115555763,2770.0,1010
5,C2,base,base,372,75.42180839659306,0.3535562888335234,2.631315622882517,0,5.011999999999936,0.813055555555557,6.537742913503768,2740.0,1010
1,C3,base,base,373,52.80699071106939,0.3527870993980794,2.7508380303740774,0,4.701999999999968,0.7927777777777768,7.26422545948155,1130.0,1010
2,C3,base,base,373,66.03139415932753,0.3528334758414008,2.5147883838724665,0,4.695999999999968,0.7923611111111102,6.592282734189881,1100.0,1010
3,C3,base,base,373,77.48752421562605,0.35350953122720896,2.3495803656179928,0,4.693999999999968,0.7922222222222213,6.012808087416089,1090.0,1010
4,C3,base,base,372,79.40119768888631,0.35333662456617876,2.3632754632165645,0,4.681999999999967,0.7901388888888883,5.917821063980058,1090.0,1010
5,C3,base,base,372,75.42180839659306,0.35391261865475154,2.443744483762235,0,4.683999999999968,0.790277777777777,6.122447028338555,1100.0,1010
1,C4,base,base,373,52.80699071106939,0.35244838911066806,2.934924632768944,0,5.015999999999937,0.8145833333333347,7.674011575557742,2700.0,1010
2,C4,base,base,373,66.03139415932753,0.3521344335714931,2.664975408650123,0,5.019999999999935,0.8148611111111126,7.002985847589266,2720.0,1010
3,C4,base,base,373,77.48752421562605,0.35296269513919193,2.457914581856312,0,5.007999999999936,0.8140277777777791,6.431429344774331,2660.0,1010
